Treatment,FS,GS,RS,Block,CWM_Hn,CWM_Hm,PL,BioticPL,NecrotroPL,CWM_Herbivory,PlotAbovegroundBiomass,SoilWater,SoilWater_2mm,SoilpH,SoilN,SoilC,SoilC/N,SoilAP,shannon,simpson,SR,Pielou,Penetration,Temperature_m,Moisture_m,Litterbiomass,AMF
Control,0,0,0,B1,14.2453044,14.86903878,0.06279362,0.002652404,0.060141216,0.013884255,29.1484,108.6596386,62.60162602,6.07,0.45,4.77,10.605,13.52898955,2.3840103,0.849837646,26,0.731718742,0.168545536,12.78663968,95.99486006,8.89,2.5
Control,0,0,0,B10,16.80049324,17.54815992,0.031576245,0.005779053,0.025797192,0.001203014,27.0418,99.70089731,60.94551282,6.12,0.42,4.38,10.4352,11.88186646,2.520968628,0.890183509,23,0.804009976,0.148747953,13.71873196,99.55352812,7.23,1.8
Control,0,0,0,B2,14.37619512,14.93199492,0.092079509,0.000670933,0.091408576,0.004070396,28.3784,104.1858326,64.75490196,6,0.44,4.68,10.6388,13.96066427,2.076760632,0.815597019,20,0.69323973,0.287766974,16.5741438,83.80871452,9.24,4.966666667
Control,0,0,0,B3,21.03737597,21.95215441,0.03305177,0,0.03305177,0.026001832,35.7129,109.4870381,62.58730159,6.04,0.6,7.02,11.6366,23.46235991,1.704830969,0.753968205,15,0.629541863,0.161722011,15.73309975,82.36638205,25.2,6
Control,0,0,0,B4,19.82225636,20.69475288,0.011179581,0,0.011179581,0.010204757,37.0657,84.49142291,65.5858748,6.02,0.58,6.37,10.9809,5.110046268,2.597515479,0.897117103,31,0.756413849,0.154172263,16.31443804,88.76702594,3.67,2.333333333
Control,0,0,0,B5,18.80750292,19.61664152,0.039952084,0,0.039952084,0.007494141,30.8133,133.5787452,63.58490566,6.07,0.52,5.47,10.6148,11.55086756,2.02979226,0.814340886,22,0.656669163,0.184427386,17.14923918,85.09887188,1.54,6.933333333
Control,0,0,0,B6,18.39729211,19.03983933,0.068732908,0,0.068732908,0.020454415,30.6979,79.69455797,57.40566038,5.95,0.4,4.4,10.8793,13.83370399,2.272221599,0.86093805,25,0.705905329,0.141957244,18.40698011,92.0898161,14.79,8.275862069
Control,0,0,0,B7,11.59643677,12.08518478,0.027288774,0,0.027288774,0.011179724,20.5496,131.3876088,68.27868852,6.02,0.64,7.1,11.0311,12.88049817,1.874181796,0.730705013,20,0.625617253,0.149909378,18.95607325,90.1152179,19.1,3.689655172
Control,0,0,0,B8,10.87917003,11.46376394,0.033374592,2.75E-05,0.033347069,0.003689437,35.5573,73.56308221,58.94154818,6,0.53,5.72,10.7752,13.09020162,2.384912735,0.851662204,29,0.708257562,0.211001411,20.66909629,86.61279475,2.39,6.3
Control,0,0,0,B9,12.48801602,13.10059893,0.02773979,0,0.02773979,0.001249814,26.2483,86.37279922,56.39191291,6,0.47,4.98,10.5042,13.74104977,2.424039955,0.88395654,22,0.784214385,0.266168893,20.12305134,92.35338973,5.7738,5.409090909
FakeShrub,1,0,0,B1,24.4553218,26.14290195,0.046107082,0.008917339,0.037189743,0.003254605,34.0014,102.5377187,55.24169184,6.77,0.49,5.63,11.4191,7.392271757,1.822713416,0.724623029,24,0.573531322,0.058490894,10.80101472,97.97250865,24.85,5.7
FakeShrub,1,0,0,B10,21.64736476,23.08683157,0.042263785,0,0.042263785,0.000569068,21.1164,100.5233645,53.54103343,6.47,0.43,4.47,10.3558,9.093900919,2.192448505,0.822973916,26,0.672923125,0.06682088,12.53408752,98.50219938,9.25,3.933333333
FakeShrub,1,0,0,B2,14.1534297,15.08213914,0.029529649,0,0.029529649,0.007939768,26.4488,115.8493248,62.05607477,6.69,0.55,6.24,11.262,17.23193884,1.86204527,0.755961423,29,0.552979413,0.061972459,15.47109935,87.70415638,1.84,3.233333333
FakeShrub,1,0,0,B3,11.59373732,12.32572116,0.033257211,0.00034081,0.032916401,0.016282138,27.4405,30.59914408,54.18569254,6.81,0.51,5.51,10.7341,14.93371606,2.126745453,0.763988988,26,0.65275704,0.065128923,14.56604935,83.84269472,12.02,5.206896552
FakeShrub,1,0,0,B4,14.22185611,15.20468615,0.016059305,0,0.016059305,0.057733632,31.7433,128.5738285,64.90998363,6.93,0.52,5.86,11.2561,10.80893278,2.056690464,0.812302893,23,0.65593821,0.06037063,14.45998398,95.64196704,2.97,5.666666667
FakeShrub,1,0,0,B5,15.19277016,16.13635519,0.018294897,5.17E-05,0.018243178,0.021803216,29.3639,103.7841116,56.86064319,6.87,0.8,9.23,11.4797,6.247275472,2.183829374,0.819136162,30,0.642076636,0.070049871,16.42151496,80.6767201,8.5296,8.2
FakeShrub,1,0,0,B6,18.24097712,19.50647761,0.046083665,0,0.046083665,0.00103877,21.2618,112.2196796,53.10136157,6.59,0.35,3.52,9.9394,6.035078168,2.161574488,0.815385809,25,0.671530872,0.093181441,15.95494218,93.49450288,23.96,3.6
FakeShrub,1,0,0,B7,17.22636846,18.22512171,0.039324612,0,0.039324612,0.004757646,21.3159,109.8448519,56.10271903,6.95,0.53,5.71,10.7937,13.03392649,2.41314676,0.87047648,28,0.724189272,0.086650326,15.99131953,97.58227833,13.74,4.333333333
FakeShrub,1,0,0,B8,23.94041269,25.58049279,0.033455475,0.000146006,0.033309469,0.006842182,33.7886,76.97908608,60.6836248,6.26,0.54,5.87,10.864,15.88778138,2.280708866,0.828735961,24,0.717643246,0.093630858,17.48594093,92.42692396,6.67,5.966666667
FakeShrub,1,0,0,B9,19.60684403,20.87762647,0.031465016,0.003749939,0.027715076,0.004354799,21.2839,68.30263255,47.15728716,6.4,0.39,3.9,10.0628,7.205056548,2.436851224,0.861885129,30,0.716468629,0.112775112,17.75677848,90.53969346,6.95,5.066666667
